ID,Category,Sub Category,Tag
401,descriptor,innocuous,
402,descriptor,explicit,
403,descriptor,implied,
404,descriptor,detailed,
405,descriptor,aversive,
406,descriptor,unsettling,
407,descriptor,dated,
408,descriptor,focus,
409,descriptor,instructional detail,
410,descriptor,anti-drug message,
411,threat and horror,,
412,threat and horror,horror,
413,threat and horror,horror,jump scare
414,threat and horror,horror,menacing tone
415,threat and horror,horror,suspense
416,threat and horror,horror,demonic entity
417,threat and horror,horror,unsettling scene
418,threat and horror,horror,ominous sounds
419,threat and horror,horror,entity appears behind person without their knowledge
420,threat and horror,horror,unsourced sounds
421,threat and horror,horror,object moves independently
422,threat and horror,horror,possession
423,threat and horror,horror,chased
424,threat and horror,horror,stalked
425,threat and horror,horror,killer
426,threat and horror,horror,monster
427,threat and horror,horror,terrorise
428,threat and horror,horror,scream
429,threat and horror,horror,body dragged across floor
430,threat and horror,horror,zombie
431,threat and horror,horror,victim in distress
432,threat and horror,horror,entity appears in shadows
433,threat and horror,threat,
434,threat and horror,threat,gun threat
435,threat and horror,threat,knife threat
436,threat and horror,threat,natural disaster
437,threat and horror,threat,kidnapped
438,threat and horror,threat,restrained
439,threat and horror,threat,gagged
440,threat and horror,threat,abducted
441,threat and horror,threat,terrorist attack
442,threat and horror,threat,chaos in aftermath
443,threat and horror,threat,characters in danger
444,threat and horror,threat,scary scene
445,threat and horror,threat,vehicle crashes
446,violence,violence,
447,violence,violence,gun
448,violence,violence,points gun
449,violence,violence,loads gun
450,violence,violence,shoots
451,violence,violence,shoot out
452,violence,violence,punch
453,violence,violence,kick
454,violence,violence,head butt
455,violence,violence,hit over head
456,violence,violence,elbowed
457,violence,violence,machine gun
458,violence,violence,knife
459,violence,violence,extracts blade
460,violence,violence,throws blade
461,violence,violence,thrown through window
462,violence,violence,explosion
463,violence,violence,grenade
464,violence,violence,blood spurt
465,violence,violence,arm break
466,violence,violence,leg break
467,violence,violence,stabs
468,violence,violence,blood in aftermath of violence
469,violence,violence,car chase
470,violence,violence,bomb
471,violence,violence,body slam
472,violence,violence,person hit by car
473,violence,violence,person's head submerged under water
474,violence,violence,person jumps off building
475,violence,violence,chase on foot
476,violence,violence,slap
477,violence,violence,head slammed on table
478,violence,violence,eye gouging
479,violence,violence,person on fire
480,violence,violence,slapstick
481,violence,violence,strangle
482,violence,violence,bag over head
483,violence,violence,suffocates
484,violence,violence,bare knuckle fight
485,violence,violence,knocked unconscious
486,violence,violence,drown
487,violence,violence,beaten
488,violence,violence,gang attack
489,violence,violence,bow and arrow
490,violence,violence,sword fight
491,violence,violence,improvised weapon
492,violence,violence,molotov cocktail
493,violence,violence,spiked mace
494,violence,violence,garrotte
495,violence,violence,torture
496,violence,violence,hammer
497,violence,violence,throat slashing
498,violence,violence,behead
499,violence,violence,bottles
500,violence,war violence,
501,violence,war violence,machine gun
502,violence,war violence,trenches
503,violence,war violence,soldiers
504,violence,war violence,gas
505,violence,war violence,gas mask
506,violence,war violence,tanks
507,violence,war violence,submarine
508,violence,war violence,ship
509,violence,war violence,battle field
510,violence,war violence,bayonet
511,violence,war violence,enemy fire
512,violence,war violence,grenade
513,violence,war violence,bomb
514,violence,war violence,over the top
515,violence,war violence,flamethrower
516,violence,fantasy violence,
517,violence,fantasy violence,magic spell
518,violence,fantasy violence,magic powers
519,violence,fantasy violence,fantastical weapon
520,violence,fantasy violence,fantastical blood
521,violence,fantasy violence,aerial dogfights
522,violence,fantasy violence,superhero
523,violence,fantasy violence,laser guns
524,violence,fantasy violence,fantastical creature
525,violence,fantasy violence,robots
526,violence,fantasy violence,aliens
527,violence,scene of torture,
528,violence,scene of torture,strapped to chair
529,violence,scene of torture,bag over head
530,violence,scene of torture,waterboarded
531,violence,scene of torture,finger nails extracted
532,violence,scene of torture,skin burnt
533,violence,scene of torture,person hanging by the wrist
534,violence,scene of torture,psychological torture
535,violence,scene of torture,skin flayed
536,violence,scene of torture,electrocuted
537,violence,scene of torture,fingers broken
538,violence,images of real dead bodies,
539,violence,images of real dead bodies,corpse
540,violence,images of real dead bodies,decomposed
541,violence,images of real dead bodies,piles of bodies
542,violence,images of real dead bodies,dead body lying in blood
543,violence,images of real dead bodies,holocaust images
544,violence,images of real dead bodies,malnourished dead bodies
545,alcohol and tobacco,,
546,alcohol and tobacco,tobacco,
547,alcohol and tobacco,tobacco,smoking
548,alcohol and tobacco,tobacco,cigarette
549,alcohol and tobacco,tobacco,blows smoke
550,alcohol and tobacco,tobacco,vape
551,alcohol and tobacco,tobacco,hookah
552,alcohol and tobacco,tobacco,shisha
553,alcohol and tobacco,tobacco,cigar
554,alcohol and tobacco,alcohol,
555,alcohol and tobacco,alcohol,alcohol consumption
556,alcohol and tobacco,alcohol,binge drinking
557,alcohol and tobacco,alcohol,drunk
558,alcohol and tobacco,alcohol,teen partying
559,alcohol and tobacco,alcohol,butt chugging
560,language,mild bad language,frickin
561,drugs,drug misuse,joint
562,drugs,drug misuse,drug misuse
563,drugs,drug references,joint
564,drugs,drug references,drug deal
565,drugs,drug references,drug reference
566,sex,sex reference,
567,sex,sex reference,anal sex reference
568,sex,sex reference,cunnilingus reference
569,sex,sex reference,fellatio reference
570,sex,sex reference,beastiality reference
571,sex,sex reference,BDSM reference
572,sex,sex reference,pornography reference
573,dangerous behaviour,self-harm,self-harm reference
574,dangerous behaviour,suicide,suicide reference
575,descriptor,undetailed,
576,descriptor,off-screen,
577,descriptor,below frame,
578,descriptor,clearly disapproved of,
579,descriptor,vigorous,
580,descriptor,sexualised,
581,descriptor,extreme close up,
582,descriptor,close up,
583,descriptor,medium shot,
584,descriptor,long shot,
585,descriptor,slow motion,
586,general,,
587,general,general,
588,general,general,man
589,general,general,woman
590,general,general,girl
591,general,general,boy
592,general,general,teenage boy
593,general,general,teenage girl
594,general,general,child
595,general,general,baby
596,discrimination,discriminatory language,gay
